235-55/20,,,215-45/18,3,,205-45/17,,,175-60/16,2,,165-55/15,
245-30/20,1,,215-50/18,1,,205-55/17,2,,185-55/16,4,,175-60/15,
245-35/20,1,,225-40/18,8,,215-45/17,,,195-50/16,1,,175-65/15,
255-45/20,1,,225-45/18,1,,215-50/17,2,,195-55/16,,,185-60/15,1
275-35/20,1,,225-50/18,0,,215-55/17,5,,195-60/16,1,,195-55/15,1
265/30-20,1,,225-55/18,1,,215-60/17,2,,195-65/16,,,195-65/15,6
245-45/20,2,,225-60/18,2,,225-45/17,1,,195-75/16,,,195-70/15,
225-55/19,1,,235-40/18,1,,225-50/17,4,,205-45/16,,,195-15,1
235-40/19,1,,235-45/18,1,,225-55/17,4,,205-55/16,7,,205-60/15,
235-45/19,1,,235-50/18,2,,225-60/17,1,,205-60/16,1,,205-65/15,
235-50/19,2,,235-55/18,,,225-65/17,3,,205-65/16,2,,205-70/15,
235-55/19,,,235-60/18,3,,235-45/17,3,,205-75/16,,,,
245-40/19,2,,245-35/18,2,,235-55/17,1,,215-45/16,1,,185-14,4
245-45/19,2,,245-40/18,3,,235-65/17,1,,215-55/16,,,175-14,1
255-35/19,1,,245-45/18,2,,245-40/17,0,,215-60/16,2,,165-70/14,1
255-40/19,1,,245-50/18,1,,245-45/17,2,,215-65/16,3,,175-70/14,
255-45/19,1,,255-35/18,0,,,,,215-70/16,,,175-65/14,2
255-50/19,2,,255-40/18,,,,,,225-50/17,1,,185-60/14,1
265-35/19,2,,255-55/18,0,,,,,225-55/16,,,185-65/14,1
265-40/19,1,,265-35/18,1,,,,,225-60/16,,,185-70/14,0
265-45/19,,,275-40/18,4,,,,,235-60/16,,,195-60/14,6
275-30/19,,,285-35/18,1,,,,,235-70/16,,,195-70/14,
275-40/19,1,,,,,,,,,,,185/70-13,
285-40/19,2,,,,,,,,,,,175-70/13,
285-45/19,,,,,,,,,,,,165-70/13,
,,,,,,,,,,,,165-65/13,
倉庫外,,,225/50-18,2,,,,,,,,155-12,1
285/40-20,0,,225/55-16,2,,,,,,,,,
215/70-16,2,,205/45-16,1,,,,,,,,,
195/50-16,2,,,,,,,,,,,,
205/55-16,2,,,,,,,,,,,,